"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2019 Week 27 ending July 06, 2019","2019/27",12280,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 28 ending July 13, 2019","2019/28",12527,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 29 ending July 20, 2019","2019/29",12503,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 30 ending July 27, 2019","2019/30",12527,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 31 ending August 03, 2019","2019/31",12534,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 32 ending August 10, 2019","2019/32",12493,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 33 ending August 17, 2019","2019/33",12479,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 34 ending August 24, 2019","2019/34",12532,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 35 ending August 31, 2019","2019/35",12617,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 36 ending September 07, 2019","2019/36",12528,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 37 ending September 14, 2019","2019/37",12611,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 38 ending September 21, 2019","2019/38",12437,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 39 ending September 28, 2019","2019/39",12937,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 40 ending October 05, 2019","2019/40",12613,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 41 ending October 12, 2019","2019/41",12956,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 42 ending October 19, 2019","2019/42",12877,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 43 ending October 26, 2019","2019/43",12889,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 44 ending November 02, 2019","2019/44",12821,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 45 ending November 09, 2019","2019/45",13152,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 46 ending November 16, 2019","2019/46",12919,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 47 ending November 23, 2019","2019/47",12988,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 48 ending November 30, 2019","2019/48",12576,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 49 ending December 07, 2019","2019/49",12824,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 50 ending December 14, 2019","2019/50",12916,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 51 ending December 21, 2019","2019/51",12896,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 52 ending December 28, 2019","2019/52",12778,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 01 ending January 04, 2020","2020/01",12995,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 02 ending January 11, 2020","2020/02",13376,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 03 ending January 18, 2020","2020/03",13052,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 04 ending January 25, 2020","2020/04",13260,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 05 ending February 01, 2020","2020/05",13273,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 06 ending February 08, 2020","2020/06",13040,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 07 ending February 15, 2020","2020/07",13165,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 08 ending February 22, 2020","2020/08",13041,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 09 ending February 29, 2020","2020/09",13204,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 10 ending March 07, 2020","2020/10",13094,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 11 ending March 14, 2020","2020/11",12933,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 12 ending March 21, 2020","2020/12",13083,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 13 ending March 28, 2020","2020/13",13249,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 14 ending April 04, 2020","2020/14",13402,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 15 ending April 11, 2020","2020/15",13499,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 16 ending April 18, 2020","2020/16",13110,Not Applicable,Not Applicable,Not Applicable,0.2%
