Name,Txn Name,Money Raised,Announced Date,Location,Industries,Description,Funding Type
Odys Aviation,Pre Seed Round - Odys Aviation,"$3,500,000","Jul 29, 2021","Long Beach, California, United States, North America","Aerospace, Air Transportation, Commercial",Odys Aviation is an aircraft startup making hybrid-electric vertical takeoff and landing (VTOL) aircraft for regional mobility.,Pre-Seed
Nemo Arms,Venture Round - Nemo Arms,"$3,500,000","Mar 22, 2023","Nampa, Idaho, United States, North America","Law Enforcement, Machinery Manufacturing, Manufacturing, Military, Wholesale",Nemo Arms is a defense company that manufactures and designs weapons and gears.,Venture - Series Unknown
First Resonance,Seed Round - First Resonance,"$3,500,000","Dec 4, 2020","Los Angeles, California, United States, North America","Aerospace, Industrial Automation, Manufacturing, Operating Systems, Software","First Resonance develops ION Factory OS, a robust manufacturing production software that provides data insights and improves scalability.",Seed
Basalt Tech,Seed Round - Basalt Tech,"$3,500,000","May 30, 2024","San Francisco, California, United States, North America","Aerospace, Industrial Automation, Space Travel",Basalt Tech is a spacecraft software company that helps to produce optimized instructions for fleets of spacecraft.,Seed
Zulu Pods,Seed Round - Zulu Pods,"$3,500,000","Mar 7, 2024","Fort Lauderdale, Florida, United States, North America","Aerospace, Air Transportation, Military",Zulu Pods is an aerospace Technology start-up that develops lubrication systems for jet engines.,Seed
NXT Communications,Venture Round - NXT Communications,"$3,477,572","Feb 9, 2023","Ball Ground, Georgia, United States, North America","Communication Hardware, National Security, Product Design",NXT Communications develops flat panel antennas for broadband on the move.,Venture - Series Unknown
Unmanned Defense Systems,Seed Round - Unmanned Defense Systems,"€3,200,000","May 24, 2024","Vilnius, Vilniaus Apskritis, Lithuania, Europe","Aerospace, Military","Unmanned Defense Systems researches, develops, designs, and manufactures tactical military UAV systems.",Seed
Alba Orbital,Seed Round - Alba Orbital,"$3,400,000","May 14, 2021","Glasgow, Glasgow City, United Kingdom, Europe","Aerospace, Satellite Communication, Space Travel",Alba Orbital is a pico-satellite company that builds and designs small commercial satellite platforms.,Seed
Wingly,Series A - Wingly,"€3,000,000","Jun 16, 2020","Paris, Ile-de-France, France, Europe","Aerospace, Internet, Leisure, Travel",Wingly is a flight sharing platform where private pilots offer their flights and passengers can fly with them.,Series A
Vibrant Corporation,Series A - Vibrant Corporation,"$3,350,000","Jul 18, 2023","Albuquerque, New Mexico, United States, North America","Aerospace, Developer APIs, Developer Tools",Vibrant Corporation develops process compensated resonance testing technology for the aerospace and power generation industries.,Series A
Agile Space Industries,Seed Round - Agile Space Industries,"$3,340,000","Apr 7, 2020","Durango, Colorado, United States, North America","3D Printing, Aerospace, Air Transportation, Space Travel","Agile Space Industries is an aviation and aerospace that specializes in propulsion, test rockets, and space exploration.",Seed
Comand AI,Seed Round - Comand AI,"€3,000,000","Jul 11, 2023","Paris, Ile-de-France, France, Europe","Artificial Intelligence (AI), Government, Military, National Security, Software",Comand AI empowers defense forces with unparalleled decision-making and operating capabilities.,Seed
Orbit Fab,Seed Round - Orbit Fab,"$3,300,000","Oct 4, 2019","Lafayette, Colorado, United States, North America","Aerospace, Energy, Infrastructure, Manufacturing, Space Travel",Orbit Fab is a supplier of tankers and other infrastructure needed for in-space refueling of satellites.,Seed
SingleFile Technologies,Seed Round - SingleFile Technologies,"$3,300,000","Aug 12, 2019","Seattle, Washington, United States, North America","Information Technology, Law Enforcement, Software","SingleFile Technologies is a companies and law firms fill out reports, manage filings, maintain internal records and remain in good standing",Seed
Picterra,Seed Round - Picterra,"$3,300,000","Sep 17, 2019","Ecublens, Vaud, Switzerland, Europe","Aerospace, Artificial Intelligence (AI), Computer Vision, Drones, Geospatial, Information Technology, Machine Learning, SaaS, Software",Geospatial ML SaaS platform for Earth Observation imagery,Seed
YellowDog,Series A - YellowDog,"£2,500,000","Mar 27, 2019","Bristol, Bristol, City of, United Kingdom, Europe","Aerospace, Animation, Cloud Computing, Cloud Management, Enterprise Software, Financial Services, Life Science, SaaS, Scheduling, Software",Helping businesses power their innovations with the most scalable cloud native scheduling and provisioning technology.,Series A
WingWork,Seed Round - WingWork,"$3,250,000","Dec 12, 2023","Bellevue, Washington, United States, North America","Aerospace, Enterprise Software, SaaS",WingWork SaaS platform streamlines fleet management and maintenance tracking for private aviation.,Seed
SingleFile Technologies,Seed Round - SingleFile Technologies,"$3,200,000","Jan 4, 2023","Seattle, Washington, United States, North America","Information Technology, Law Enforcement, Software","SingleFile Technologies is a companies and law firms fill out reports, manage filings, maintain internal records and remain in good standing",Seed
Venus Aerospace,Seed Round - Venus Aerospace,"$3,173,499","Jan 21, 2021","Houston, Texas, United States, North America","Aerospace, Product Research, Transportation",Venus Aerospace is a space company that provides an innovative approach to hypersonic transportation.,Seed
Boom Supersonic,Venture Round - Boom Supersonic,"$3,131,868","Apr 17, 2020","Centennial, Colorado, United States, North America","Aerospace, Air Transportation, Manufacturing","Boom Supersonic is a commercial airplane manufacturer that builds supersonic airliners designed for speed, safety, and sustainability.",Venture - Series Unknown
Skyports,Series B - Skyports,"$3,130,000","Aug 2, 2022","London, England, United Kingdom, Europe","Aerospace, Drone Management, Transportation, Travel",Skyports provides urban air mobility infrastructure and manages end-to-end drone delivery services.,Series B
Osprey Flight Solutions,Seed Round - Osprey Flight Solutions,"£2,200,000","Apr 27, 2021","Basingstoke, Hampshire, United Kingdom, Europe","Aerospace, Security",Osprey Flight Solutions that brings a step change in aviation security expertise.,Seed
Payload Aerospace,Venture Round - Payload Aerospace,"€2,673,000","Feb 11, 2022","Elche, Comunidad Valenciana, Spain, Europe",Aerospace,Payload Aerospace is a company that are into technology development in aerospace sector.,Venture - Series Unknown
Airspace Link,Seed Round - Airspace Link,"$3,000,050","Dec 18, 2019","Detroit, Michigan, United States, North America","Aerospace, Drone Management, Geospatial, Government, Mapping Services",Airspace Link is an FAA approved UAS/Drone Low Altitude Authorization and Notification Capability (LAANC) Platform,Seed
AireXpert,Seed Round - AireXpert,"$3,000,000","Nov 14, 2023","Buffalo, New York, United States, North America","Aerospace, Air Transportation, Software",AireXpert is a collaboration & decision support SaaS platform built for technical stakeholders across aerospace & aviation supply chains,Seed
Malones CNC Machining Inc.,Venture Round - Malones CNC Machining Inc.,"$3,000,000","Feb 6, 2024","Grove, Oklahoma, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing, Military",Malone's CNC Machining Inc. is a manufacturer of military aircraft parts and assemblies.,Venture - Series Unknown
Siriusjet,Pre Seed Round - Siriusjet,"$3,000,000","Jan 3, 2021","Westport, Connecticut, United States, North America","Aerospace, Air Transportation, Battery, CleanTech, Electric Vehicle, Fuel Cell, Last Mile Transportation, Military, Renewable Energy, Sustainability","Aviation, Hydrogen, Regional Mobility",Pre-Seed
LENX,Seed Round - LENX,"$3,000,000","Oct 16, 2023","Miami, Florida, United States, North America","Drones, Law Enforcement, Network Security, Public Safety, Security","LENX advanced weapons detection, AI drones, surveillance technology, and real-time communication solutions.",Seed
Continuum Space Systems,Seed Round - Continuum Space Systems,"$3,000,000","Jun 22, 2023","Pasadena, California, United States, North America","Aerospace, Management Information Systems, Space Travel",Continuum Space built the Unified Mission Management SaaS platform for planning and executing space missions with less time and cost,Seed
LENX,Pre Seed Round - LENX,"$3,000,000","Mar 17, 2021","Miami, Florida, United States, North America","Drones, Law Enforcement, Network Security, Public Safety, Security","LENX advanced weapons detection, AI drones, surveillance technology, and real-time communication solutions.",Pre-Seed
TRL11,Pre Seed Round - TRL11,"$3,000,000","May 23, 2023","Los Angeles, California, United States, North America","Aerospace, Battery, Manufacturing, Sensor",TRL11 is an aviation and aerospace component manufacturing company that provides next-generation technology solutions for the space economy.,Pre-Seed
Continuum Space Systems,Seed Round - Continuum Space Systems,"$3,000,000","May 1, 2021","Pasadena, California, United States, North America","Aerospace, Management Information Systems, Space Travel",Continuum Space built the Unified Mission Management SaaS platform for planning and executing space missions with less time and cost,Seed
Kinemagic,Seed Round - Kinemagic,"$3,000,000","Oct 1, 2019","Metairie, Louisiana, United States, North America","Augmented Reality, GovTech, Industrial, Information Technology, Military, Software, Virtual Reality",Making XR innovation accessible for every facility on the planet.,Seed
FibreCoat,Series A - FibreCoat,"$3,000,000","Oct 21, 2021","Aachen, Nordrhein-Westfalen, Germany, Europe","Advanced Materials, Automotive, Industrial Engineering, Manufacturing, Military",FibreCoat produces thermoplastic-coated fibres for composites and aluminium-coated fibres for shielding applications.,Series A
ANYWAVES,Venture Round - ANYWAVES,"$3,000,000","Dec 9, 2022","Toulouse, Midi-Pyrenees, France, Europe","Aerospace, Air Transportation, Manufacturing, Mechanical Engineering",ANYWAVES is a manufacturer of space applications and satellite constellations equipment.,Venture - Series Unknown
Kambr,Seed Round - Kambr,"$3,000,000","Jan 13, 2021","Amsterdam, Noord-Holland, The Netherlands, Europe","Aerospace, B2B, Consulting, Media and Entertainment, Software, Travel","Raising airline revenue performance through Software, Consultancy and Content.",Seed
Zero Gravity,Private Equity Round - Zero Gravity,"$3,000,000","Oct 21, 2022","Arlington, Virginia, United States, North America","Aerospace, Air Transportation, Tourism",Zero Gravity is a privately-held space entertainment and tourism company.,Private Equity
Mindtrace,Seed Round - Mindtrace,"$3,000,000","Feb 22, 2021","Manchester, Manchester, United Kingdom, Europe","Aerospace, Artificial Intelligence (AI), Asset Management, Automotive, Construction, Health Care, Pharmaceutical, Real Estate, Retail Technology, Warehousing","Mindtrace bleeding edge artificial intelligence facilitates the automation of quality, safety & production systems throughout industry",Seed
Fermata Discovery,Seed Round - Fermata Discovery,"$3,000,000","Oct 18, 2022","New York, New York, United States, North America","Law Enforcement, SaaS, Software",Fermata Discovery is a SaaS firm that develops tools to automate and scale routine processes involved with investigative workflows.,Seed
