"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2019 Week 07 ending February 16, 2019","2019/07",11671,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 08 ending February 23, 2019","2019/08",11748,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 09 ending March 02, 2019","2019/09",11531,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 10 ending March 09, 2019","2019/10",11828,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 11 ending March 16, 2019","2019/11",11736,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 12 ending March 23, 2019","2019/12",11510,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 13 ending March 30, 2019","2019/13",11437,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 14 ending April 06, 2019","2019/14",11458,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 15 ending April 13, 2019","2019/15",11306,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 16 ending April 20, 2019","2019/16",11237,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 17 ending April 27, 2019","2019/17",11187,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 18 ending May 04, 2019","2019/18",11334,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 19 ending May 11, 2019","2019/19",11347,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 20 ending May 18, 2019","2019/20",11513,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 21 ending May 25, 2019","2019/21",11634,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 22 ending June 01, 2019","2019/22",11283,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 23 ending June 08, 2019","2019/23",11205,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 24 ending June 15, 2019","2019/24",11471,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 25 ending June 22, 2019","2019/25",11329,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 26 ending June 29, 2019","2019/26",11420,Not Applicable,Not Applicable,Not Applicable,0.2%
